date, amount, currency, category, description
2019-08-27, 8.8, EUR, groceries, hofer
2019-08-27, 2.8, EUR, groceries, bakery
2019-08-28, 19, EUR, transport, oebb
2019-08-28, 1.8, EUR, groceries, bakery
2019-08-28, 2.3, EUR, transport, vienna single
